	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	sig
AWHE01043592.1/6383-6515	5.89275303394902	1.82364236588593	0.0995768967259257	18.3139104134296	6.40970204002576e-75	2.49650817500915e-72	up
CM000039.3/51154203-51154114	84.5600766943785	1.71125194165059	0.0934460644262052	18.3127235176605	6.55097055061655e-75	2.54350701869033e-72	up
LL001192.1/20051-19890	7.15924033090495	1.62535865568039	0.0889205172624382	18.2787809351506	1.22125313968899e-74	4.68278517550064e-72	up
AMCP01000226.1/1103-964	10.3898996964695	2.31330479224341	0.126580095052226	18.2754230930935	1.29878829853875e-74	4.96466853386943e-72	up
CM001596.2/43078302-43078532	14.4793155185785	1.75175643324293	0.0961263573022615	18.2234767071707	3.36105307991148e-74	1.272952459112e-71	up
ALWZ040494306.1/542-421	3.47199819920679	1.90078301215604	0.104305076107162	18.2233030557706	3.3717379755497e-74	1.27309401946535e-71	up
MEDI01000615.1/5116-4916	10.4303078715235	2.08403742028007	0.114379608105039	18.2203581110912	3.55818744785454e-74	1.33532610277114e-71	up
LDJJ01000070.1/6753-6623	9.65619277120191	1.81179454063067	0.0995185994105946	18.2055872104425	4.66029836643678e-74	1.73312565875668e-71	up
CDMY01000104.1/58075-58268	6.47545372791353	1.84322245964616	0.101476498400843	18.1640329405655	9.94437905647596e-74	3.68712490493986e-71	up
AJIM01138869.1/435-561	6.488989301218	1.95420646872229	0.107827388812593	18.1234702077295	2.08049277896753e-73	7.62238226805824e-71	up
CM000852.2/1746288-1746169	28.5769330147317	2.67623908385966	0.147723478312127	18.1165452806695	2.35953457953046e-73	8.61914246939252e-71	up
JH835571.1/2720750-2720878	6.19326637755017	1.75119287887781	0.0967325633258053	18.1034474707303	2.99332428246703e-73	1.09020578910808e-70	up
AGTP01085064.1/14285-14081	15.410391503372	1.49127123313334	0.0824580765629247	18.0852051769039	4.16813502010776e-73	1.49602120541473e-70	up
LN865164.1/810646-810438	6.31257485075262	2.10246695051632	0.116265361048645	18.0833477103868	4.31096479458223e-73	1.54280058335501e-70	up
AOTI010912753.1/8068-8206	13.6374109649148	1.62518241911819	0.089963653407245	18.0648779542262	6.02550873767829e-73	2.13780894489558e-70	up
AFYH01061208.1/8889-8968	39.3873536059582	1.7520481967057	0.0971612489158838	18.0323762431514	1.08525825306597e-72	3.81751185155411e-70	up
ANKR01242535.1/23673-23785	9.50372927577242	2.31689847279673	0.128567661492275	18.0208494570459	1.33675153859262e-72	4.68880792519755e-70	up
NHOM01000006.1/102040-102250	3.96095704344732	1.67430515456266	0.0929668914552121	18.0096927879887	1.63533617443565e-72	5.67167659509047e-70	up
GL378368.1/824067-824227	19.7605855468112	1.3865117858848	0.0770903690647947	17.9855383066001	2.52920594117585e-72	8.69849579791364e-70	up
CM000038.3/1083633-1083754	5.79406803088134	1.58102388320743	0.0879511153445653	17.9761663853093	2.99498304492836e-72	1.02717935164226e-69	up
DS264266.1/8694-8588	8.72078064885253	2.22701800307247	0.124038151905696	17.9542984868529	4.44158038176027e-72	1.51072464621261e-69	up
CM000362.1/15869868-15869999	98.1327343529439	1.45570632139521	0.0810836662217626	17.9531388900678	4.53531038281521e-72	1.53836731413579e-69	up
CM000843.2/37084098-37083948	18.9431748347153	2.51942593465947	0.140360233356658	17.9497132087089	4.82388226319345e-72	1.62730900347533e-69	up
LZPO01008023.1/305446-305527	10.0273837530183	1.69516771510769	0.0944430411121265	17.9491013328883	4.87731928201698e-72	1.63639363345672e-69	up
KI535313.1/1093436-1093608	4.77938981143492	2.02610987296525	0.113140638048053	17.9078879872033	1.02345951910204e-71	3.39689515872287e-69	up
AAPE02063260.1/13254-13329	2.77481912882493	1.91091455688698	0.10699550351023	17.8597650760555	2.42658437877371e-71	7.90515884111958e-69	up
JRRC01407662.1/10710-10960	1745.98436423468	1.30091180685413	0.0729733003483035	17.8272299682877	4.34417931250087e-71	1.40410243810434e-68	up
KQ058917.1/1392011-1391811	84.586490916438	1.8096905521808	0.101584447491634	17.8146418754686	5.44049713082917e-71	1.74474623311485e-68	up
CM001879.1/34189755-34189640	5.0551360864085	2.01441388476415	0.113248227885274	17.7875974077481	8.81806151013753e-71	2.7988391221945e-68	up
