	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	sig
GL010031.1/4974226-4974129	10.8668459701611	-2.44356021304127	0.123531919713267	-19.7808001260975	4.35721703848716e-87	3.03941736332165e-84	down
KB855605.1/251448-251340	18.5506371921346	-2.41997061704095	0.122362532444054	-19.7770556779495	4.69305186774357e-87	3.25529060677844e-84	down
FN597025.1/12184583-12184713	7.14881248573746	-2.35519949476718	0.119207294936099	-19.7571759012709	6.95909580508398e-87	4.72102000473686e-84	down
JMFH01008263.1/917-1048	492.420147985961	-2.51128042352409	0.127658959313013	-19.6717914436899	3.76250142120137e-86	2.52472024713528e-83	down
KK106988.1/628023-628292	67.8755421916913	-2.31980350941524	0.117996219553399	-19.6599816349661	4.74898932962981e-86	3.16944980838235e-83	down
KN838647.1/34503-34319	32.7153441188816	-2.5601413619895	0.130393958489258	-19.6338955550644	7.93881788838617e-86	5.26983853249067e-83	down
ABEG02004825.1/47552-47404	11.4919529029712	-1.82532588929848	0.0931454659628961	-19.5965082189356	1.65605073859483e-85	1.08760251379163e-82	down
LZPO01044062.1/401554-401399	4.10536851671353	-2.1411127937621	0.10926941961428	-19.5948033889098	1.71245756312405e-85	1.11869688044339e-82	down
DS547115.1/413559-413746	32.6894937285796	-2.51018803013344	0.128721070291276	-19.5009878682121	1.07682285096174e-84	6.85325586404865e-82	down
CM001750.1/46022846-46022952	6.1303829201015	-2.33295787954611	0.119702833416668	-19.4895794272924	1.3458258543193e-84	8.47787890719874e-82	down
KN838647.1/24643-24457	29.7367864081533	-2.62197144621291	0.134801642112642	-19.4505898082603	2.88098179315732e-84	1.7696968161072e-81	down
CM002787.1/10508796-10508672	38.3420539509749	-1.35524357241528	0.0696949879449483	-19.445351988378	3.1907756067628e-84	1.95029050799896e-81	down
AFSB01214303.1/4075-4230	4.37807667015285	-1.84362391320462	0.0948361938813113	-19.4400875631084	3.53561804990795e-84	2.1398808303237e-81	down
GL378597.1/6227-6118	51.1201707529799	-2.24517997696312	0.115952132327776	-19.3629899846636	1.58418113425959e-83	9.40363828292132e-81	down
AOTI010158835.1/2123-2007	6.72608217483755	-2.25597570564868	0.116533750835968	-19.3589899017683	1.71209663425092e-83	1.01143132649614e-80	down
DS562875.1/20739230-20739311	80.0508896676405	-2.81860148052279	0.145652426040494	-19.3515587563173	1.97769592163836e-83	1.16277219072783e-80	down
CM002481.1/21783053-21782918	97.4204571003991	-2.69168815620632	0.13911857215276	-19.3481582980215	2.1125709960121e-83	1.23618443476598e-80	down
KI965475.1/83024-82946	9.92580275736997	-2.51025551116184	0.129766673076022	-19.344377502005	2.27332695379028e-83	1.32397703929518e-80	down
MLAU01026950.1/212730-212812	14.6064134549535	-2.55141113111778	0.131953816937951	-19.3356371973501	2.69320376889548e-83	1.55385272400929e-80	down
BDFN01001596.1/1808670-1808586	26.9823128690868	-2.49057871845367	0.128839826970128	-19.3308139029953	2.95716038787758e-83	1.69820780823474e-80	down
KB870807.1/13251647-13251799	7.96288516737271	-1.60161477832307	0.0829744743319098	-19.3024998497295	5.11726625760584e-83	2.89825059767926e-80	down
JPDS01000002.1/1249723-1249644	28.2692167311533	-2.80908372109233	0.145720223642375	-19.2772399799931	8.34099494380001e-83	4.70249298502785e-80	down
AGTP01026688.1/3439-3579	14.9001062088416	-2.42855618707357	0.126074654011405	-19.2628423699967	1.10162143961892e-82	6.18249981394861e-80	down
AOTI010889333.1/14341-14231	12.909487273957	-2.50471401653554	0.130030612851966	-19.2624948971597	1.10903950213773e-82	6.19596783936387e-80	down
AAPE02024482.1/21623-21763	9.53096178267833	-2.48654617668563	0.129249524954277	-19.2383390002034	1.76783132920605e-82	9.74422314975059e-80	down
AZIM01004216.1/50310-50228	9.29220380316202	-1.79803346842098	0.0935043095149894	-19.2294181706432	2.09970538954061e-82	1.15220633349244e-79	down
FAOM01404310.1/202189-201991	27.7108285329835	-2.50324740525103	0.130247174632481	-19.2192069602619	2.55647375424574e-82	1.39664912163369e-79	down
KB457585.1/311973-311858	18.9422891211091	-2.46190140467977	0.128131271171653	-19.2138997932959	2.83173338420868e-82	1.53345814684858e-79	down
CM003253.1/64373299-64373195	6.56851660008307	-2.33687851567453	0.121644750262585	-19.2106811895301	3.0128678842793e-82	1.61735987798346e-79	down
AAPP01019519.1/514913-514833	47.1706590582278	-2.70191329455844	0.14090515255652	-19.1754044868916	5.94046744145427e-82	3.1614553192305e-79	down
AP014963.1/6096480-6096687	10.1173197241052	-2.39357273679033	0.124873518752489	-19.16797701148	6.85220449572595e-82	3.63102139346906e-79	down
MVGT01000437.1/3690346-3690536	6.98208209894786	-2.52561782732377	0.132233658375906	-19.0996593329067	2.5413988318478e-81	1.31289301661332e-78	down
AAQR03149281.1/26212-26109	5.7757902769606	-2.32107265918419	0.121541318986337	-19.0969842893108	2.6749824065445e-81	1.37614469904682e-78	down
ABRO02061774.1/7592-7461	11.7042681718932	-2.37693815575953	0.124473176728731	-19.0959869284904	2.72656025460787e-81	1.39685867848931e-78	down
JRHH01000004.1/210398-210256	10.4404491008003	-2.1589904589493	0.113086195025605	-19.0915474559955	2.96844527597393e-81	1.51449587328078e-78	down
CM002500.1/32305079-32305311	199.085610475048	-1.59384138353368	0.0835346145297154	-19.0800112325497	3.70179309150952e-81	1.87316798943646e-78	down
KB856915.1/78541-78398	6.56557617893426	-2.27043540746666	0.119268702518819	-19.0363050785131	8.53398959288352e-81	4.283230191277e-78	down
AGTP01039698.1/9699-9600	27.3576326107173	-2.46497908366731	0.129631373769493	-19.0152970842572	1.27413046600896e-80	6.34332017649979e-78	down
CM000282.3/14490218-14490303	11.2319129805176	-2.36758612256132	0.124840579521227	-18.9648760975092	3.32810629063429e-80	1.64365850996814e-77	down
CM002643.2/21052815-21052688	40.5332494636072	-1.48103040769565	0.0783056336090514	-18.9134592166106	8.83654800443083e-80	4.3294877341709e-77	down
CM000880.2/64142452-64142579	3.542231920206	-1.81806550044412	0.096249052744081	-18.8891781125183	1.40008595091843e-79	6.70022527860454e-77	down
CM003256.1/36117549-36117655	15.589218512809	-2.55994586849022	0.135611749457177	-18.8770211927587	1.76250165211567e-79	8.40202911132886e-77	down
AASG02000186.1/63397-63504	33.5880640304329	-2.5952474890749	0.137606791119042	-18.8598794286961	2.43775167877079e-79	1.15319664472978e-76	down
KQ059061.1/101223-101362	5.61996994645158	-2.26005168757826	0.120282513052313	-18.7895283381328	9.199333092209e-79	4.28612550275042e-76	down
KB096742.1/921124-921288	8.33911746463444	-2.33724970149433	0.124486946381656	-18.7750585055618	1.20814802605837e-78	5.6078052812547e-76	down
ANKR01250700.1/8977-9100	177.407298785556	-2.15570858955843	0.114880733570949	-18.764752996873	1.46677780818882e-78	6.78277612065383e-76	down
JRRC01460991.1/936-1042	7.86034471693272	-2.30765106000845	0.123010273426384	-18.7598238401566	1.60931968212926e-78	7.41415979526624e-76	down
HG417173.1/6434361-6434171	8.52697272819774	-2.44220477402156	0.130313203058766	-18.7410386414968	2.29111441280582e-78	1.05159596401602e-75	down
GL010117.1/133972-134072	6.42554329119515	-2.02801850374117	0.108336969096019	-18.7195425593247	3.43084786320744e-78	1.56888860731295e-75	down
AASG02003385.1/24323-24431	5.97495244965785	-2.2228905028194	0.118941028584486	-18.6890136168651	6.08272168329061e-78	2.76110838526664e-75	down
JH836439.1/457707-457574	3.11515687871124	-2.11924501586504	0.11342815445216	-18.6835889740131	6.73358312560125e-78	3.04140030699051e-75	down
HG417171.2/2616054-2616261	8.11508115340534	-2.35473712478802	0.126033225232178	-18.6834631935359	6.74947098936891e-78	3.04140030699051e-75	down
CM001242.1/11950466-11950604	7.19246316274629	-2.17670363422664	0.116511350582299	-18.6823311492652	6.89415703819556e-78	3.09530102251611e-75	down
CCCW010034633.1/433-310	13.6562982696342	-2.4567885301882	0.13156747205322	-18.6732213657979	8.17687232457631e-78	3.64470062155519e-75	down
CM007652.1/29691979-29692132	6.58944187958441	-2.12175655819764	0.113770235377823	-18.6494872859446	1.27494027071261e-77	5.64209051413419e-75	down
NGMM01000002.1/329160-329339	12.8601459319507	-2.30627753871276	0.123901885116118	-18.6137405137247	2.48637816711587e-77	1.09248448233973e-74	down
FR853095.2/72556406-72556269	95.5264453793489	-2.15931420372937	0.116062824414633	-18.6047015021385	2.94326357892922e-77	1.28864846653629e-74	down
KB018217.1/77325-77408	13.2128715419207	-2.45726561332305	0.132094421779931	-18.6023420233205	3.07572224227248e-77	1.34188435974876e-74	down
AAPE02048783.1/15482-15358	177.583680408606	-2.11890919296044	0.113922869181214	-18.5995069136642	3.24276693904971e-77	1.40978150855841e-74	down
CAGR02000041.1/40632-40562	4.96900225365959	-2.14376652370026	0.115412983420549	-18.5747431542314	5.14506887329519e-77	2.22115861415388e-74	down
HG417166.1/28858393-28858161	204.331791467099	-1.53100991308472	0.082457656183188	-18.5672257004665	5.91829117278827e-77	2.54606123526767e-74	down
KB021087.1/131764-131847	10.2214945752794	-2.30032371709142	0.123895785095023	-18.5666018850211	5.98743728075989e-77	2.56686425757244e-74	down
CM000316.3/70305094-70304957	95.9281386690605	-2.14822444849727	0.115859377612749	-18.5416536214923	9.52475002500481e-77	4.02740354824416e-74	down
CM001647.1/70083502-70083365	96.3406969998217	-2.14432055788429	0.115746358154644	-18.5260304693073	1.27341686571233e-76	5.34783107400579e-74	down
CM009293.1/12175543-12175698	6.07463821330391	-1.73998221622163	0.0939624306789216	-18.5178502051242	1.48239231664323e-76	6.20433947631547e-74	down
MGWQ01000025.1/10777-10898	11.7477164028116	-2.27669177156894	0.123253544670853	-18.4716129475125	3.49484315329893e-76	1.43833764817171e-73	down
KB017104.1/1437045-1437171	4.58612335952817	-1.57811109102895	0.0854700558204975	-18.4639061701711	4.03106377816586e-76	1.65351289887901e-73	down
ACPB03002584.1/6199-6310	14.6152129863512	-1.60448565120858	0.0869188195140739	-18.4595886158898	4.36654646784142e-76	1.78519456719021e-73	down
HE587302.1/1216589-1216502	5.86512187935078	-2.02028118509184	0.109458088445326	-18.4571210203527	4.57063927250305e-76	1.85634108453094e-73	down
CAJW010153543.1/2664-2797	3.93387765916506	-2.13587880732217	0.115860106992939	-18.4349804497621	6.88436227347233e-76	2.76872456410776e-73	down
CM000765.3/44631240-44631333	88.2993363811008	-1.91382200733592	0.103959442702715	-18.4093138399051	1.10615122844132e-75	4.43422986601275e-73	down
CP000497.1/762003-762268	22.4226628785337	-1.7021130995722	0.0924821821066892	-18.4047679325799	1.20298847804571e-75	4.80681493227664e-73	down
LFJF01009901.1/24029-23930	7.90813066590619	-1.84223408878697	0.100127733801293	-18.3988393509729	1.34208684890919e-75	5.3453154535845e-73	down
JH119053.1/1900471-1900584	16.445160473731	-2.25553167679754	0.122841336201455	-18.3613411132109	2.6790841442756e-75	1.06360501969588e-72	down
LDAU01000025.1/320243-320432	4.39429929364949	-1.92019043140031	0.104793171770088	-18.323621653643	5.36227238164055e-75	2.11523657002043e-72	down
MPHV01000230.1/11338-11119	6.36165563783572	-1.80261711652635	0.0983834461683736	-18.3223620103869	5.48785030441931e-75	2.15787866683453e-72	down
CM002816.1/208970995-208971151	59.2502310850967	-2.5776034741685	0.140740548681996	-18.3145759932527	6.33181589858395e-75	2.47397672584292e-72	down
ABRO02068880.1/2696-2832	9.53256924786314	-2.17551137088412	0.118922274486738	-18.2935566972084	9.3135212456815e-75	3.60477066194923e-72	down
CM001241.2/23499829-23500033	5.71262105282164	-2.13364955845064	0.116667929106782	-18.288226891366	1.02701724803293e-74	3.96261767437905e-72	down
AP008957.1/556137-555836	33.7541518816409	-2.21001364894607	0.120891968820184	-18.280897155652	1.17477687959426e-74	4.51860908940013e-72	down
CM000234.2/100792453-100792575	6.9195495033109	-2.12625656645344	0.116474706847935	-18.2550926634176	1.88490756665211e-74	7.18289405677168e-72	down
CM000664.2/179934538-179934401	96.0114430823596	-2.12023856702253	0.116342420033085	-18.2241229503356	3.32158501894878e-74	1.26187525882944e-71	down
BABH01040155.1/11377-11454	5.8999895766641	-2.16684101995901	0.118916598624804	-18.2215186527127	3.48351485287402e-74	1.31128845077637e-71	down
GK000012.2/21694196-21694327	5.92467390518041	-2.08991822568443	0.114720289956272	-18.2175117102741	3.7481596824569e-74	1.40235690810178e-71	down
CM000858.1/26174762-26174632	10.0360790254279	-2.30810662022106	0.126771308655593	-18.2068533069389	4.55378845035187e-74	1.69863188032642e-71	down
CM002529.1/13653650-13653443	9.77567491967253	-2.30410876914436	0.126865107855075	-18.1618792440273	1.03423057387164e-73	3.82318504475399e-71	down
JMFR01065655.1/32650-32381	3.84745259031555	-1.96590971070949	0.108354561378552	-18.1433036662047	1.45044412360077e-73	5.34577418067881e-71	down
AYZV02071273.1/2147-2234	7.58542115608531	-1.81878417863655	0.100292968875156	-18.1347127224897	1.69582912589579e-73	6.2315663844078e-71	down
FAOM01333075.1/1391-1257	4.77975811141503	-2.11274179452663	0.116766782887678	-18.0936884812435	3.573495594186e-73	1.29768339418517e-70	down
CM007647.1/184829348-184829124	47.7423380481667	-1.59196108616255	0.0880015129227705	-18.0901558767477	3.81007915225891e-73	1.37953915768652e-70	down
ASAF01149944.1/15269-15059	69.4387294794354	-2.35484307021168	0.130194079318649	-18.0871747973133	4.02183201300761e-73	1.45195191515212e-70	down
MLAU01022554.1/15042-14935	10.0106159484042	-2.32020836244957	0.128293055205089	-18.0852218285744	4.16687616585422e-73	1.49602120541473e-70	down
AFTI01010008.1/39784-39704	15.5427766310236	-1.94611603116903	0.107677982441485	-18.0734815701677	5.1555219054335e-73	1.83971670121406e-70	down
ALWS01061836.1/8475-8401	27.8989008428477	-2.50397998894674	0.138574308062312	-18.0695832002336	5.5330117689824e-73	1.96873169190985e-70	down
HG417170.2/26724275-26724550	8.39086578520351	-2.25104442719497	0.124742149752652	-18.0455798754351	8.54627504531777e-73	3.0234713103017e-70	down
HE587305.1/3874595-3874680	161.13179677496	-2.45033708179791	0.135825778207895	-18.0402948109557	9.40409047494188e-73	3.31744069360035e-70	down
FRBH01000013.1/29688-29603	11.3576658119987	-2.24933253758808	0.124829221237343	-18.0192787817793	1.37524617117416e-72	4.81016697627568e-70	down
BABH01012094.1/6124-6205	6.38168664246972	-2.68780841576775	0.149185110907873	-18.0165996419547	1.44347459134776e-72	5.03454578656853e-70	down
AYUG01091978.1/32655-32501	21.3822317907945	-2.33196294377129	0.129467184437388	-18.0120001365988	1.5685690365224e-72	5.45543892398163e-70	down
AYUG01137638.1/34856-34753	8.16809175283804	-2.15410631392991	0.119632270919084	-18.0060638938042	1.74612207582986e-72	6.03894118931543e-70	down
JH591416.1/672623-672809	16.3842125355141	-1.96149280615042	0.108969531937042	-18.000378374422	1.93492568769718e-72	6.67322359800546e-70	down
AARH02001552.1/294894-295049	6.0838871734648	-1.7013251054214	0.0946891345538243	-17.9674797265605	3.50269988031765e-72	1.19798157568715e-69	down
FRBH01000010.1/7872-7783	5.20471452955019	-2.11152897144774	0.117534156451248	-17.9652369592119	3.64717354769358e-72	1.24394813145478e-69	down
FKIZ01006031.1/16392-16553	29.6070728128856	-2.41596433213059	0.134581398478258	-17.9516958468884	4.65470961093937e-72	1.57454160614647e-69	down
ASAF01113513.1/16946-16835	4.28393627727266	-2.12119527043243	0.118177371223741	-17.9492507615222	4.86421500208071e-72	1.63639363345672e-69	down
AYUG01142212.1/797-624	4.8282063272883	-1.52341308877933	0.0848860067436284	-17.9465750271458	5.10426959854675e-72	1.70789690729911e-69	down
JMFR01031464.1/1901-1999	25.5641013287274	-2.45094373889736	0.136672935265759	-17.9329121316633	6.526972102726e-72	2.17803295021452e-69	down
LZPO01073203.1/1087347-1087249	4.9693702084885	-2.20223910549121	0.122921851310223	-17.9157658464915	8.8838027369767e-72	2.95651039441789e-69	down
KQ059091.1/90002-89896	26.9715405556074	-2.48670581047027	0.138994316430128	-17.8907013922424	1.39343341216202e-71	4.61245138157695e-69	down
AARH02000528.1/92669-92578	7.70577017283619	-2.25720514193959	0.126175371673577	-17.8894273264288	1.42565973678445e-71	4.70650685511505e-69	down
JJOQ01016138.1/4485-4382	33.5465059553207	-2.50549675469471	0.140106096757582	-17.882853156846	1.60413792322524e-71	5.28159202946063e-69	down
AASG02000377.1/56246-56114	119.202290315028	-1.74893357624953	0.0978360435489044	-17.876168258739	1.80846927430627e-71	5.93851288191614e-69	down
JMFT01206853.1/895-758	14.5226204097705	-3.00255244481298	0.16797877483556	-17.8745942619969	1.86023734737161e-71	6.09230198422489e-69	down
JRRC01491914.1/1502-1608	5.14139507635425	-2.00745024155102	0.112390964640555	-17.861313389125	2.36019632215828e-71	7.70922538371001e-69	down
CM002498.1/17739136-17739305	15.2615716206877	-2.22438627240673	0.124607708650117	-17.8511128765921	2.83333668810212e-71	9.20595826859455e-69	down
CP002976.1/3619105-3618953	5.36754992285185	-2.36308781069283	0.132393337033928	-17.8489934889038	2.942925753639e-71	9.53693325328872e-69	down
CM000766.3/60685995-60686098	40.4572275370795	-1.76911691323411	0.0992723042955372	-17.8208506973646	4.8690406523646e-71	1.5655487272556e-68	down
